account,name,link,keywords,language
@kaitclark@mastodon.social,Kait Clark,https://mastodon.social/@kaitclark,cognitive neuroscience;  visual cognition; individual differences; training; open science,en
@adanvers@nerdculture.de,Alex Danvers,https://nerdculture.de/@adanvers,social psychology; personality; science reform; open science; psych methods,en
@rdhawkins@mastodon.social,Robert Hawkins,https://mastodon.social/@rdhawkins,computational cognitive science; language,en
@fparente@mstdn.science,Fabio Parente,https://mstdn.science/@fparente,psycholinguistics; eye-tracking; mental imagery,en
@KBhealthmovements@activism.openworlds.info,Kiran Bains,https://activism.openworlds.info/@KBhealthmovements,health psychology,en
@debruine@tech.lgbt,Lisa DeBruine,https://tech.lgbt/@debruine,methods; metascience; social perception,en
@sharoz@scicomm.xyz,Steve Haroz,https://scicomm.xyz/@sharoz,vision science; cognitive neuroscience; open science; data visualization,en
@smirandafield@academienl.social,S Miranda Field,https://akademienl.social/@smirandafield,meta science; methodology; open science; integrity; reflexivity,en
@erinomarakunz@fediscience.org,Erin O'Mara Kunz,https://fediscience.org/@erinomarakunz,social psychology; self-processes; bias; women's health; ovulation,en
@ttpphd@mastodon.social,Trevor T Perry,https://mastodon.social/@ttpphd,hearing; auditory neuroscience; audiology,en
@srossit@mastodon.social,Stephanie Rossit,https://mastodon.social/@srossit,cognitive neuroscience; neuropsychology,en
@gfrischkorn@mastodon.social,Gidon Frischkorn,https://mastodon.social/@gfrischkorn,cognitive modelling; psychometrics; rstats; working memory,en
@LeonKroczek@mstdn.social,Leon Kroczek,https://mstdn.social/@LeonKroczek,social interaction; virtual reality; psychophysiology,en
@jonsutton@scicomm.xyz,Jon Sutton,https://scicomm.xyz/@jonsutton,science communication,en
@OmidVEbrahimi@mastodon.social,Omid V. Ebrahimi,https://mastodon.social/@OmidVEbrahimi,clinical psychology; mental health; depression; EMA,en
@cruwell@nerdculture.de,Sophia Crüwell,https://nerdculture.de/@cruwell,open science; metascience; metaresearch; philosophy,en
@sam@fediscience.org,Samuel Mehr,https://fediscience.org/@sam,psychology of music; audition,en
@pratikb@c.im,Pratik Bhandari,https://c.im/@pratikb,predictive processing; language comprehension,en
@dburin@mastodon.social,D. I. Burin,https://mastodon.social/@diburin,rstats; open science; Psych Science Accelerator; working memory,en
@Alain_Content@mastodon.online,Alain Content,https://mastodon.online/@Alain_Content,cognitive science; psycholinguistics; numerical cognition; science of reading; language,en
@KouMurayama@mastodon.social,Kou Murayama,https://mastodon.social/@KouMurayama,motivation; curiosity; rewards; metacognition; memory,en
@TimVantilborgh@scicomm.xyz,Tim Vantilborgh,https://scicomm.xyz/@TimVantilborgh,I/O psychology; psychological contract; employee wellbeing; burnout; temporal dynamics,en
@bianhaan@mastodon.online,Bianca de Haan,https://mastodon.online/@bianhaan,cognitive neuroscience; attention,en
@artbox_hill@activism.openworlds.info,Hilary Murray,https://activism.openworlds.info/@artbox_hill,neuroscience,en
@jennawneal@mastodon.social,Jennifer Watling Neal,https://mastodon.social/@jennawneal,developmental psychology; community psychology; network science; open science,en
@Daniel_Heck@mastodon.social,Daniel Heck,https://mastodon.social/@Daniel_Heck,psychometrics; cognitive modeling; mathematical psychology,en
@zpneal@mastodon.social,Zachary Neal,https://mastodon.social/@zpneal,rstats; openscience; network science,en
@ekmiller@fediscience.org,Earl K Miller,https://fediscience.org/@ekmiller,cognitive neuroscience,en
@erinnacland@fediscience.org,Erinn Acland,https://fediscience.org/@erinnacland,development; antisocial; emotion,en
@MattCrump@bbs.crumplab.com,Matt Crump,https://bbs.crumplab.com/@MattCrump,cognition,en
@SRHAstraea@mastodon.nz,Stephen Hill,https://mastodon.nz/@SRHAstraea,cognitive psychology; distributed cognition; embodied cognition; misinformation; open science,en
